Qty,Value,Device,Package,Parts,Description,Manufacturer ,Manufacturer part number (MPN),Supplier name,Supplier part number (SPN)
4,ISL23415UTQFN,ISL23415UTQFN,ISL23415,"DP:U1, DP:U2, DP:U3, DP:U4",Digital Potentiometer ICs 256 TAP VOLATILE SPI FL RNG INC DCP 21X16 ,Renesas / Intersil ,ISL23415TFRUZ-T7A ,Mouser,968-ISL23415TFRUZT7A 
1,L3GD20H,L3GD20H,L3GD20H,SB:U2,L3GD20H MEMS motion sensor: three-axis digital output gyroscope.,STMicroelectronics ,L3GD20HTR ,Mouser,511-L3GD20HTR 
1,LPS25H,LPS25H,LPS25H,SB:U5,LPS25H MEMS pressure sensor: 260-1260 hPa absolute digital output barometer,STMicroelectronics ,LPS25HBTR ,Mouser,511-LPS25HBTR 
3,MAX40200,MAX40200,DSBGA,"CH:U2, RG:U2, RG:U3",Supervisory Circuits Current Sense/Ideal Diode ,Maxim Integrated ,MAX40200ANS+T ,Mouser,700-MAX40200ANS+T 
1,MCP1811AT-012/TTSOT-23-3,MCP1811AT-012/TTSOT-23-3,SOT23-3,FP:U1,LDO Voltage Regulators 1.2V 3-Lead SOT-23 150mA Ultra Low Iq LDO with Auto-Discharge ,Microchip Technology ,MCP1811AT-012/TT ,Mouser,579-MCP1811AT-012/TT 
1,MKL03Z32VFK4RQFN24,MKL03Z32VFK4RQFN24,MKL03Z32VFK4R,MP:U1,"Kinetis KL03 32 KB Flash, 48 MHz Cortex-M0+  Microcontroller, in 24 pin QFN package (MKL03Z32VFK4R). The package for the 20 pin WLCSP (MKL03Z32CAF4R) is also in the library due to historical reasons. Can't yet figure out how to remove it.",NXP Semiconductors ,MKL03Z32VFK4R ,Mouser,841-MKL03Z32VFK4R 
1,MMA8451Q,MMA8451Q,MMA8451Q,SB:U1,"MMA8451Q 3-Axis, 14-bit/8-bit Digital Accelerometer.",NXP Semiconductors ,MMA8451QR1 ,Mouser,841-MMA8451QR1 
1,MOLEX_USB_47346-0001MICRO_USB_B,MOLEX_USB_47346-0001MICRO_USB_B,USB-B-MICRO-SMD,USB:U1,USB Connectors MICRO USB B RECPT BTTM MOUNT ASSY ,Molex,47346-0001 ,Mouser,538-47346-0001 
2,QIIC connector,I2C_STANDARDJS-1MM,1X04_1MM_RA,"J2, J3",SparkFun I2C Standard Pinout Header,SparkFun ,PRT-14417 ,Mouser,474-PRT-14417 
1,RV-8803-C7_RTC,RV-8803-C7_RTC,RV-C7,RT:U1,Real Time Clock 32.768 kHz +/-3 PPM I2C -40/+85C ,Micro Crystal ,RV-8803-C7-32.768k-3PPM-TA-QA ,Mouser,428-203035-MG01 
1,Red,LED0603,LED-0603,CH:D2,LED (Generic),Kingbright ,APT1608LSECK/J3-PRV ,Mouser,604-APT1608LSECKJ3RV 
1,SI4705,SI4705,SI4705,SB:U6,Si4705 BROADCAST FM RADIO RECEIVER FOR CONSUMER ELECTRONICS.,Silicon Labs ,SI4705-D50-GM ,Mouser,634-SI4705-D50-GM 
1,SI7021,SI7021,SI7021,SB:U3,I2C HUMIDITY AND TEMPERATURE SENSOR.,Silicon Labs ,SI7021-A20-IM1 ,Mouser,634-SI7021-A20-IM1 
1,TCS34725FN,TCS3772,TCS3772,SA:U5,TCS3772 COLOR LIGHT-TO-DIGITAL CONVERTER with PROXIMITY SENSING.,ams ,TCS34725FN ,Mouser,985-TCS34725FN 
1,TPS6274XWSON,TPS6274XWSON,WSON-12,RG:U1,Switching Voltage Regulators 360-nA Iq SD Cnvtr w/ Intg Load Switch ,Texas Instruments ,TPS62740DSSR,Mouser,595-TPS62740DSSR 
